agent,n,success_rate,goal_err_median,goal_err_p90,place_err_median_m,within_10cm,infer_ms_per_stroke,net_rate,out_rate,err_land_x,err_land_y,err_speed,err_topspin,err_sidespin,family,n_train,wall_seconds,demo_iters,demo_pop,eval_n,robust_k,robust_weight
knn,3000,0.7136666666666667,0.3908566521983281,0.6517215899711183,0.3375833778584659,0.0649229332087809,0.0058804333287601,0.0566666666666666,0.2266666666666666,0.2251991646647426,0.1538388339838398,0.6692877619094748,58.54859954197893,51.82955912678898,knn (hq demos),500,0.4,8.0,256.0,3000,0.0,0.25
knn,3000,0.7433333333333333,0.3220695452221507,0.5492661211191373,0.2695992564579504,0.1071748878923766,0.0197893666724363,0.05,0.2046666666666666,0.2010438630659741,0.11176567910403,0.6656591000704006,45.25739138260642,45.88763952568989,knn (hq demos),2000,0.4,8.0,256.0,3000,0.0,0.25
knn,3000,0.7933333333333333,0.2676187730168796,0.4883032177799966,0.2182442006646595,0.1630252100840336,0.1738047999873136,0.0423333333333333,0.1643333333333333,0.1630854346248221,0.0893334418490185,0.593372274400048,40.91180425243897,43.5364617449708,knn (hq demos),20000,1.0,8.0,256.0,3000,0.0,0.25
knn,3000,0.7923333333333333,0.248753923196918,0.4569991438065688,0.1973085369615232,0.1935212452671434,0.4628569333193203,0.0386666666666666,0.169,0.1524909685174219,0.0781195698300855,0.57165703317136,38.27098501821919,41.5996801214792,knn (hq demos),200000,1.8,8.0,256.0,3000,0.0,0.25
policy-mlp,3000,0.6083333333333333,0.3555707580107383,0.6361549589615472,0.3256959442713317,0.0750684931506849,0.00054760001755,0.047,0.2963333333333333,0.2818263057466004,0.0971999891908044,0.7752234731758794,45.645353557589615,52.13709123161064,policy-mlp (hq demos),500,0.3,8.0,256.0,3000,0.0,0.25
mdn,3000,0.6396666666666667,0.3341139700920334,0.5884524248862918,0.3114914002130181,0.085461177696717,0.0013037999936689,0.1003333333333333,0.2083333333333333,0.2650939482914114,0.0830676787874784,0.898265913178653,45.67749999531509,50.31048803078289,mdn (hq demos),500,0.3,8.0,256.0,3000,0.0,0.25
mdn+rank,3000,0.3323333333333333,0.6699877417186205,1.0968296715857138,0.5121790001186362,0.0310932798395185,0.0010669000136355,0.194,0.4583333333333333,0.2950834693828899,0.266800326180773,4.30512513981118,108.36025150349764,46.557660899296,mdn+rank (hq demos),500,0.4,8.0,256.0,3000,0.0,0.25
policy-mlp,3000,0.7436666666666667,0.306638732866079,0.5443963549139915,0.2867637273951081,0.1147467503361721,0.0004639333346858,0.0403333333333333,0.196,0.2537002074840525,0.0675657339377955,0.6256349389841498,39.46000764234827,53.0163633936146,policy-mlp (hq demos),2000,0.4,8.0,256.0,3000,0.0,0.25
mdn,3000,0.73,0.2300042603755581,0.4101892257738087,0.2075079356338351,0.1876712328767123,0.0005278999839598,0.0863333333333333,0.1633333333333333,0.1687934156836102,0.0640600334726092,0.500370010744347,30.565472661359685,39.244675855934105,mdn (hq demos),2000,0.3,8.0,256.0,3000,0.0,0.25
mdn+rank,3000,0.382,0.3643017430287912,0.7295431183479737,0.356670357489263,0.0767888307155322,0.0010789333221813,0.0236666666666666,0.4716666666666667,0.2936977037947257,0.1124845060985884,0.7747836078695816,49.60482884326112,38.84289408234278,mdn+rank (hq demos),2000,0.7,8.0,256.0,3000,0.0,0.25
