agent,n,success_rate,goal_err_median,goal_err_p90,place_err_median_m,within_10cm,infer_ms_per_stroke,net_rate,out_rate,err_land_x,err_land_y,err_speed,err_topspin,err_sidespin,family,n_train,wall_seconds
cem-oracle,3000,0.997,0.3605911142763851,0.6192753551491513,0.18731499402489427,0.1815446339017051,53.7165399332686,0.0003333333333333333,0.001,0.1364108539702994,0.0809006723821702,0.8483122822507703,86.10907621148982,94.67347077503283,oracle,0,161.8
knn,3000,0.6933333333333334,0.4495302180664016,0.7091731068929623,0.35478056423813953,0.05432692307692308,0.023075599999477465,0.06833333333333333,0.238,0.25442778614223627,0.15238717248340938,0.8725318299734419,72.92346092355976,89.49638597333828,knn,500,0.4
knn,3000,0.6836666666666666,0.41544666196437924,0.6691223858120693,0.31092375736006195,0.08434909800097513,0.10189486667513847,0.04833333333333333,0.2673333333333333,0.23648890767968267,0.12014176932965637,0.8467559957892012,71.48126729123221,81.97249973393332,knn,2000,0.6
knn,3000,0.7366666666666667,0.37548972084074717,0.62363990438657,0.26170237442464206,0.1171945701357466,0.95365220005624,0.035666666666666666,0.22733333333333333,0.21115622919555482,0.09292601988241932,0.8634559742313823,75.04812602361645,86.1017367525074,knn,20000,3.2
surrogate-cem-uniform,3000,0.0,,,,0.0,0.17382006665381294,0.0,0.921,,,,,,surrogate-cem-uniform,2000,0.7
surrogate-grad-uniform,3000,0.028666666666666667,0.8565426225786725,1.3478342150381808,0.6503252670315732,0.023255813953488372,0.09422853332944214,0.016,0.8393333333333334,0.33813523336012996,0.42600717686866374,1.6816399417726746,127.86557613067956,174.56640954216402,surrogate-grad-uniform,2000,0.8
surrogate-cem,3000,0.005,0.5140242050508985,1.3293364863045107,0.5481696103358361,0.0,0.07684520003385842,0.0003333333333333333,0.9823333333333333,0.45833600904529626,0.2738616477403365,2.7539308435483107,98.56163838512322,41.34842069093659,surrogate-cem,2000,0.7
surrogate-grad,3000,0.027666666666666666,0.8483367456521341,1.4763007644910717,0.6339433304407112,0.012048192771084338,0.08946269998947778,0.0016666666666666668,0.9366666666666666,0.4192701228741481,0.3663462210304546,1.2879568948300673,116.73131139102884,125.03463234076007,surrogate-grad,2000,0.9
policy-mlp,3000,0.701,0.3920124081464482,0.5913089364972689,0.29882666790371154,0.0903471231573942,0.0004689666287352641,0.043333333333333335,0.24266666666666667,0.2670829512674022,0.07903564709426109,0.8472056375362218,72.8791502704768,94.82780806053601,policy-mlp,500,0.3
mdn,3000,0.7823333333333333,0.3784226308852491,0.6038927220736472,0.27793434731179145,0.1014060502769493,0.0012257999430100122,0.094,0.102,0.2403870477806429,0.08029858986298682,0.9418945494812334,72.30347608065853,92.53607621782386,mdn,500,0.3
mdn+rank,3000,0.595,0.47292806517059194,0.8113703362100153,0.3718612544515778,0.05434173669467787,0.0011736666783690453,0.04033333333333333,0.3576666666666667,0.2726977165812188,0.13465531079255016,1.707311879958997,93.47292715744656,87.98287358763547,mdn+rank,2000,0.4
surrogate-cem-uniform,3000,0.0026666666666666666,0.9622548952319896,1.1598098379252082,0.8325197356414,0.0,0.07713326664331059,0.0023333333333333335,0.9946666666666667,0.6945096027770433,0.13905527779982252,11.37246223478819,16.993131762935633,53.42857653926323,surrogate-cem-uniform,20000,0.8
surrogate-grad-uniform,3000,0.09066666666666667,0.7195323353097199,1.1104381858154677,0.5213869735248395,0.011029411764705883,0.09133876666116218,0.07366666666666667,0.7593333333333333,0.3440124409101124,0.2976609117148699,1.551233543667045,108.67573979869505,145.29916604608798,surrogate-grad-uniform,20000,0.7
surrogate-cem,3000,0.3516666666666667,0.594051717442251,0.9295116721920098,0.47521106942365193,0.02843601895734597,0.07713130000047386,0.011666666666666667,0.6256666666666667,0.3858447243709643,0.17161248131579698,0.624061572411466,105.38780443249829,131.14112339118074,surrogate-cem,20000,0.5
surrogate-grad,3000,0.26066666666666666,0.7451621550908627,1.2023700138575164,0.5931312977561454,0.014066496163682864,0.09103739998924236,0.043333333333333335,0.6693333333333333,0.37744739491617263,0.3205280111706683,0.8373357047847403,116.58771444773538,158.1722932429322,surrogate-grad,20000,0.6
policy-mlp,3000,0.7096666666666667,0.4014351645637218,0.6176576865803864,0.31636563995628725,0.10286519492719587,0.0007052999765922625,0.014,0.2763333333333333,0.2948574205359695,0.06386533605165517,0.8641187752582367,72.3609266132413,102.82885725278327,policy-mlp,2000,0.3
mdn,3000,0.8666666666666667,0.3354111821377602,0.4860588748664782,0.215598344347641,0.1776923076923077,0.0005402000000079473,0.035666666666666666,0.097,0.19338364433921645,0.04642122036955729,0.6045947406531962,79.15235357551481,102.01353571872042,mdn,2000,0.3
mdn+rank,3000,0.6026666666666667,0.35209138084911096,0.562779044008333,0.22287398659115798,0.17533185840707965,0.0014819666588058074,0.02033333333333333,0.37633333333333335,0.20611819794643038,0.04258886967977024,0.7899473811851778,90.31819120267073,97.73017742837696,mdn+rank,20000,0.3
surrogate-cem-uniform,3000,0.32966666666666666,0.7252994076238363,1.1106850710417053,0.5987828066577064,0.027300303336703743,0.08115329996993145,0.0003333333333333333,0.6693333333333333,0.4816455699859054,0.23042609013036092,1.340990495758029,176.3783388942689,89.81835051972388,surrogate-cem-uniform,200000,0.9
surrogate-grad-uniform,3000,0.422,0.8775764839701118,1.3731465874384012,0.6206124642947344,0.018957345971563982,0.0942846667021513,0.034666666666666665,0.5303333333333333,0.344840027202106,0.36470660375506614,1.213720719079129,161.76271774983576,152.96235954706043,surrogate-grad-uniform,200000,0.8
surrogate-cem,3000,0.8856666666666667,0.515009252531661,0.8261141555784524,0.33041565449757504,0.07452013549115544,0.07753926663038631,0.019,0.09166666666666666,0.23923493739056,0.13692057905889163,0.9945661601879614,111.16125878925527,99.88502715704604,surrogate-cem,200000,0.7
surrogate-grad,3000,0.649,0.684640927880554,1.114119915412331,0.43337340628900095,0.03492552645095018,0.08879666666810711,0.09233333333333334,0.22733333333333333,0.26791227409600094,0.23095310618682308,1.0683277866474121,150.52146261842978,150.83335974952757,surrogate-grad,200000,0.8
policy-mlp,3000,0.736,0.3321981001031383,0.5651896193979246,0.24127927272344246,0.1802536231884058,0.0005577666840205591,0.0016666666666666668,0.2623333333333333,0.2254600063321982,0.05530386786509625,0.7400987903903409,65.4871461324759,86.74077755015337,policy-mlp,20000,0.3
mdn,3000,0.975,0.3015382313759428,0.5171624245456947,0.12031036468355526,0.4157264957264957,0.0004889000362406174,0.0013333333333333333,0.023666666666666666,0.11092280190718506,0.03410505497467908,0.7347345862128689,80.11144279094313,93.41882139403526,mdn,20000,0.3
mdn+rank,3000,0.9443333333333334,0.27054760988673804,0.4863055879048604,0.12910500725792282,0.3695728909283445,0.0012522666559865077,0.0006666666666666666,0.055,0.11467286681596445,0.0386597005183885,0.870028362067699,64.598033211521,77.5721284452647,mdn+rank,200000,0.4
