agent,n,success_rate,goal_err_median,goal_err_p90,place_err_median_m,within_10cm,infer_ms_per_stroke,net_rate,out_rate,err_land_x,err_land_y,err_speed,err_topspin,err_sidespin,family,n_train,wall_seconds,demo_iters,demo_pop,eval_n
knn,3000,0.6933333333333334,0.4495302180664016,0.7091731068929623,0.3547805642381395,0.054326923076923,0.0230755999994774,0.0683333333333333,0.238,0.2544277861422362,0.1523871724834093,0.8725318299734419,72.92346092355976,89.49638597333828,knn,500,0.4,,,3000
knn,3000,0.6836666666666666,0.4154466619643792,0.6691223858120693,0.3109237573600619,0.0843490980009751,0.1018948666751384,0.0483333333333333,0.2673333333333333,0.2364889076796826,0.1201417693296563,0.8467559957892012,71.48126729123221,81.97249973393332,knn,2000,0.6,,,3000
knn,3000,0.7366666666666667,0.3754897208407471,0.62363990438657,0.261702374424642,0.1171945701357466,0.95365220005624,0.0356666666666666,0.2273333333333333,0.2111562291955548,0.0929260198824193,0.8634559742313823,75.04812602361645,86.1017367525074,knn,20000,3.2,,,3000
policy-mlp,3000,0.701,0.3920124081464482,0.5913089364972689,0.2988266679037115,0.0903471231573942,0.0004689666287352,0.0433333333333333,0.2426666666666666,0.2670829512674022,0.079035647094261,0.8472056375362218,72.8791502704768,94.827808060536,policy-mlp,500,0.3,,,3000
mdn,3000,0.7823333333333333,0.3784226308852491,0.6038927220736472,0.2779343473117914,0.1014060502769493,0.00122579994301,0.094,0.102,0.2403870477806429,0.0802985898629868,0.9418945494812334,72.30347608065853,92.53607621782386,mdn,500,0.3,,,3000
mdn+rank,3000,0.595,0.4729280651705919,0.8113703362100153,0.3718612544515778,0.0543417366946778,0.001173666678369,0.0403333333333333,0.3576666666666667,0.2726977165812188,0.1346553107925501,1.707311879958997,93.47292715744656,87.98287358763547,mdn+rank,2000,0.4,,,3000
policy-mlp,3000,0.7096666666666667,0.4014351645637218,0.6176576865803864,0.3163656399562872,0.1028651949271958,0.0007052999765922,0.014,0.2763333333333333,0.2948574205359695,0.0638653360516551,0.8641187752582367,72.3609266132413,102.82885725278328,policy-mlp,2000,0.3,,,3000
mdn,3000,0.8666666666666667,0.3354111821377602,0.4860588748664782,0.215598344347641,0.1776923076923077,0.0005402000000079,0.0356666666666666,0.097,0.1933836443392164,0.0464212203695572,0.6045947406531962,79.15235357551481,102.01353571872042,mdn,2000,0.3,,,3000
mdn+rank,3000,0.6026666666666667,0.3520913808491109,0.562779044008333,0.2228739865911579,0.1753318584070796,0.0014819666588058,0.0203333333333333,0.3763333333333333,0.2061181979464303,0.0425888696797702,0.7899473811851778,90.31819120267072,97.73017742837696,mdn+rank,20000,0.3,,,3000
policy-mlp,3000,0.736,0.3321981001031383,0.5651896193979246,0.2412792727234424,0.1802536231884058,0.0005577666840205,0.0016666666666666,0.2623333333333333,0.2254600063321982,0.0553038678650962,0.7400987903903409,65.4871461324759,86.74077755015337,policy-mlp,20000,0.3,,,3000
mdn,3000,0.975,0.3015382313759428,0.5171624245456947,0.1203103646835552,0.4157264957264957,0.0004889000362406,0.0013333333333333,0.0236666666666666,0.110922801907185,0.034105054974679,0.7347345862128689,80.11144279094313,93.41882139403526,mdn,20000,0.3,,,3000
mdn+rank,3000,0.9443333333333334,0.270547609886738,0.4863055879048604,0.1291050072579228,0.3695728909283445,0.0012522666559865,0.0006666666666666,0.055,0.1146728668159644,0.0386597005183885,0.870028362067699,64.598033211521,77.5721284452647,mdn+rank,200000,0.4,,,3000
cem-oracle,3000,0.997,0.3605911142763851,0.6192753551491513,0.1873149940248942,0.1815446339017051,46.65671946667135,0.0003333333333333,0.001,0.1364108539702994,0.0809006723821702,0.8483122822507703,86.10907621148982,94.67347077503284,oracle,0,140.7,8.0,256.0,3000
knn,3000,0.7136666666666667,0.3908566521983281,0.6517215899711183,0.3375833778584659,0.0649229332087809,0.0233030999855448,0.0566666666666666,0.2266666666666666,0.2251991646647426,0.1538388339838398,0.6692877619094748,58.54859954197893,51.82955912678898,knn (hq demos),500,0.5,8.0,256.0,3000
