schema,rally_id,stroke_id,t,source,in_pos_x,in_pos_y,in_pos_z,in_vel_x,in_vel_y,in_vel_z,in_spin_x,in_spin_y,in_spin_z,serve_pos_x,serve_pos_y,serve_pos_z,serve_vel_x,serve_vel_y,serve_vel_z,paddle_pos_x,paddle_pos_y,paddle_pos_z,paddle_normal_x,paddle_normal_y,paddle_normal_z,paddle_vel_x,paddle_vel_y,paddle_vel_z,out_vel_x,out_vel_y,out_vel_z,out_spin_x,out_spin_y,out_spin_z,landing_x,landing_y,landing_z,result,net_clearance,flight_time,bounces
2,1,1,1786442102.0630,human,-1.101641,-0.060267,1.013314,-2.425965,-0.139219,0.597827,-2.177363,-90.348230,-11.193343,1.049803,0.258084,1.027232,-4.433930,-0.807300,1.615740,-1.120000,-0.061315,1.017442,0.972665,-0.101208,-0.208999,4.177416,-0.263995,6.213603,7.931995,-1.068022,1.921353,21.972393,168.610354,-21.962311,1.108113,-0.397693,0.779998,in,,,1
2,2,1,1786442105.9784,human,-1.118567,-0.125826,0.993266,-2.191177,-0.010427,0.630531,8.329868,-63.133361,11.039575,0.783514,-0.250521,1.013220,-4.009803,0.374644,1.469120,-1.120000,-0.125834,0.993633,0.976115,-0.118045,-0.182388,4.137274,-0.141380,6.292546,7.897244,-0.865941,1.987596,31.384787,174.295906,-15.521827,1.065197,-0.394017,0.779998,in,,,1
2,3,1,1786442110.1019,human,-1.103286,-0.507559,0.967615,-1.663342,-0.856682,-1.180664,34.280190,-84.213771,52.263982,1.006643,0.149850,0.988613,-3.764162,-0.689213,1.795602,-1.120000,-0.516207,0.955101,0.997796,0.051731,-0.041559,4.141420,0.387751,6.293987,8.854487,0.494268,2.154508,15.748774,198.084413,-7.969148,1.210150,-0.393973,0.779998,in,,,1
2,1,1,1787408371.6819,human,-1.119996,0.020540,0.964244,-2.957041,0.590045,0.375385,-33.921005,-64.776256,4.558848,1.012226,-0.319898,1.004550,-5.010661,0.775083,1.154661,-1.120000,0.020541,0.964184,0.996328,0.049841,-0.069613,3.420460,-2.756087,3.960783,8.383775,-0.292969,1.700580,-32.404212,93.551544,112.804431,1.269706,0.169613,0.779999,in,,,1
2,2,1,1787408375.6955,human,-1.103074,0.043931,1.047326,-2.316404,-0.222258,-0.043194,9.840805,-113.880389,7.878543,1.092113,0.301942,0.927162,-3.965463,-0.464840,2.275832,-1.120000,0.042303,1.046628,0.976648,-0.213563,-0.023456,3.264048,-1.833015,-0.956796,8.356646,-2.641299,0.262431,17.343758,-72.357169,14.157040,1.316730,-0.680599,0.779999,in,,,1
2,3,1,1787408379.4874,human,-1.101541,0.011407,0.933995,-2.625715,-0.351638,0.103165,-5.126076,-12.260534,-3.093686,0.750355,0.288027,0.948871,-4.258531,-0.667987,1.056674,-1.120000,0.008937,0.934454,0.941637,0.256133,0.218439,1.563213,-0.311718,0.766806,4.748119,1.204063,1.775850,-11.364467,-14.825309,28.784162,0.778010,0.558122,0.779996,in,,,1
2,4,1,1787408383.9453,human,-1.104652,-0.589672,1.054632,-2.403564,-1.097882,-0.385493,52.232238,-120.776542,14.830490,1.127815,0.335906,0.933585,-3.926323,-1.490194,2.398341,-1.120000,-0.596689,1.051892,0.959564,0.176404,-0.219360,3.524647,-0.994081,4.780044,6.654093,0.343234,1.196711,6.363599,141.881708,31.232868,0.664841,-0.450658,0.779998,in,,,1
2,5,1,1787408387.9602,human,-1.110098,0.470334,0.983246,-2.607796,1.050720,0.070667,-43.165080,-129.774853,-53.088608,0.793254,-0.275790,0.983836,-4.532684,1.524774,1.414127,-1.120000,0.474338,0.983336,0.968210,0.074006,-0.238942,4.516650,-0.445294,5.358737,8.436675,0.563604,1.212167,-38.897467,151.182941,43.123270,0.767051,0.648018,0.779998,in,,,1
2,6,1,1787408391.4871,human,-1.109670,0.113909,0.855779,-4.571364,-0.233575,1.693805,3.994285,-179.165067,-27.101801,0.843722,0.305427,1.001166,-7.162665,-0.884284,0.998164,-1.120000,0.113389,0.859439,0.941586,-0.022786,-0.336002,2.376822,-0.693349,7.464556,5.114126,-0.766492,3.056606,18.954866,161.169299,-5.735238,0.941481,-0.201384,0.779998,in,,,1
2,7,1,1787408395.5699,human,-1.114480,-0.267417,0.838254,-2.543105,0.205463,2.040860,-8.137925,-45.084464,-5.403140,0.992312,-0.389554,1.029775,-4.706691,0.231697,1.644356,-1.120000,-0.266969,0.842583,0.930496,0.048766,-0.363042,4.961551,1.741697,8.749198,6.957694,1.089731,2.572917,-33.797540,250.754256,-32.506445,0.688885,-0.032611,0.779999,in,,,1
